Date,Poland - CAPE
29-01-82,0
26-02-82,0
31-03-82,0
30-04-82,0
31-05-82,0
30-06-82,0
30-07-82,0
31-08-82,0
30-09-82,0
29-10-82,0
30-11-82,0
31-12-82,0
31-01-83,0
28-02-83,0
31-03-83,0
29-04-83,0
31-05-83,0
30-06-83,0
29-07-83,0
31-08-83,0
30-09-83,0
31-10-83,0
30-11-83,0
30-12-83,0
31-01-84,0
29-02-84,0
30-03-84,0
30-04-84,0
31-05-84,0
29-06-84,0
31-07-84,0
31-08-84,0
28-09-84,0
31-10-84,0
30-11-84,0
31-12-84,0
31-01-85,0
28-02-85,0
29-03-85,0
30-04-85,0
31-05-85,0
28-06-85,0
31-07-85,0
30-08-85,0
30-09-85,0
31-10-85,0
29-11-85,0
31-12-85,0
31-01-86,0
28-02-86,0
31-03-86,0
30-04-86,0
30-05-86,0
30-06-86,0
31-07-86,0
29-08-86,0
30-09-86,0
31-10-86,0
28-11-86,0
31-12-86,0
30-01-87,0
27-02-87,0
31-03-87,0
30-04-87,0
29-05-87,0
30-06-87,0
31-07-87,0
31-08-87,0
30-09-87,0
30-10-87,0
30-11-87,0
31-12-87,0
29-01-88,0
29-02-88,0
31-03-88,0
29-04-88,0
31-05-88,0
30-06-88,0
29-07-88,0
31-08-88,0
30-09-88,0
31-10-88,0
30-11-88,0
30-12-88,0
31-01-89,0
28-02-89,0
31-03-89,0
28-04-89,0
31-05-89,0
30-06-89,0
31-07-89,0
31-08-89,0
29-09-89,0
31-10-89,0
30-11-89,0
29-12-89,0
31-01-90,0
28-02-90,0
30-03-90,0
27-04-90,0
31-05-90,0
29-06-90,0
31-07-90,0
31-08-90,0
28-09-90,0
31-10-90,0
30-11-90,0
28-12-90,0
31-01-91,0
28-02-91,0
28-03-91,0
30-04-91,0
31-05-91,0
28-06-91,0
31-07-91,0
30-08-91,0
30-09-91,0
31-10-91,0
29-11-91,0
30-12-91,0
31-01-92,0
28-02-92,0
31-03-92,0
30-04-92,0
29-05-92,0
30-06-92,0
31-07-92,0
28-08-92,0
30-09-92,0
30-10-92,0
