Data,Openly,Highest,lowest,Close
19-10-07,21.958,21.958,21.958, 22.0 
22-10-07,21.886,21.886,21.886, 21.9 
23-10-07,22.344,22.344,22.344, 22.3 
24-10-07,22.178,22.178,22.178, 22.2 
25-10-07,22.141,22.141,22.141, 22.1 
26-10-07,22.084,22.084,22.084, 22.1 
29-10-07,22.189,22.189,22.189, 22.2 
30-10-07,22.092,22.092,22.092, 22.1 
31-10-07,22.104,22.104,22.104, 22.1 
02-11-07,21.708,21.708,21.708, 21.7 
05-11-07,21.599,21.599,21.599, 21.6 
06-11-07,21.438,21.438,21.438, 21.4 
07-11-07,20.877,20.877,20.877, 20.9 
08-11-07,20.626,20.626,20.626, 20.6 
09-11-07,20.74,20.74,19.94, 20.1 
12-11-07,20,20.1,19.74, 19.8 
13-11-07,19.86,20.11,19.79, 19.9 
14-11-07,20.27,20.27,19.65, 19.7 
15-11-07,19.7,19.7,19.06, 19.2 
16-11-07,19.08,19.4,18.94, 19.4 
19-11-07,19.61,19.61,19.32, 19.3 
20-11-07,19.36,19.53,19.22, 19.4 
21-11-07,19.14,19.31,19.12, 19.2 
22-11-07,19.26,19.64,19.09, 19.5 
23-11-07,19.76,19.85,19.67, 19.7 
26-11-07,19.89,19.89,19.35, 19.4 
27-11-07,19.28,19.38,19.14, 19.2 
28-11-07,19.29,19.65,19.09, 19.5 
29-11-07,19.79,19.84,19.55, 19.6 
30-11-07,19.72,19.87,19.66, 19.7 
03-12-07,19.82,19.82,19.49, 19.5 
04-12-07,19.58,20.08,19.47, 20.1 
05-12-07,18.4,18.84,18.4, 18.8 
06-12-07,18.86,18.9,18.54, 18.6 
07-12-07,18.7,18.72,18.52, 18.7 
10-12-07,18.64,19.04,18.62, 18.8 
11-12-07,18.88,18.97,18.8, 18.9 
12-12-07,18.49,19.13,18.49, 19.1 
13-12-07,18.95,19.03,18.72, 18.8 
14-12-07,18.76,18.76,18.26, 18.3 
17-12-07,18.15,18.15,17.58, 17.6 
18-12-07,17.66,17.66,17.21, 17.5 
19-12-07,17.51,17.51,17.19, 17.4 
20-12-07,17.34,17.64,17.34, 17.5 
21-12-07,17.72,17.81,17.5, 17.7 
27-12-07,17.72,18.04,17.72, 18.0 
28-12-07,17.9,17.92,17.62, 17.7 
02-01-08,17.69,17.9,17.66, 17.7 
03-01-08,17.56,17.59,17.4, 17.6 
04-01-08,17.64,17.72,17.26, 17.3 
07-01-08,17.21,17.24,17.08, 17.2 
08-01-08,17.19,17.32,17.13, 17.3 
09-01-08,17.1,17.1,16.8, 16.9 
10-01-08,16.93,16.93,16.43, 16.5 
11-01-08,16.417,16.487,16.227, 16.2 
14-01-08,16.19,16.19,16.19, 16.2 
15-01-08,16.15,16.28,15.41, 15.4 
16-01-08,14.7,15.16,14.62, 14.9 
17-01-08,15.26,15.26,14.79, 15.2 
18-01-08,15.13,15.48,14.98, 15.4 
21-01-08,14.87,15.06,14.44, 14.4 
22-01-08,13.75,14.76,13.75, 14.7 
23-01-08,15.11,15.11,14.31, 14.7 
24-01-08,15.15,15.34,15.05, 15.3 
25-01-08,15.65,15.65,15.29, 15.4 
28-01-08,15.19,15.32,15.1, 15.1 
29-01-08,15.38,15.62,15.34, 15.6 
30-01-08,15.68,15.71,15.53, 15.7 
31-01-08,15.69,15.69,15.17, 15.4 
01-02-08,15.62,15.87,15.56, 15.8 
04-02-08,16,16.12,15.86, 16.0 
05-02-08,15.88,15.98,15.3, 15.4 
06-02-08,15.04,15.5,14.95, 15.4 
07-02-08,15.41,15.48,14.91, 15.3 
08-02-08,15.46,15.46,15.15, 15.4 
11-02-08,15.32,15.67,15.32, 15.5 
12-02-08,15.7,16.1,15.57, 16.1 
13-02-08,15.99,16.22,15.96, 16.1 
