Date,Open,High,Low,Close
05/18/2023,"7,723.23","7,776.58","7,723.23","7,742.30"
05/17/2023,"7,751.08","7,758.15","7,713.03","7,723.23"
05/16/2023,"7,777.70","7,804.93","7,741.29","7,751.08"
05/15/2023,"7,754.62","7,794.89","7,754.62","7,777.70"
05/12/2023,"7,730.58","7,772.79","7,729.01","7,754.62"
05/11/2023,"7,741.33","7,784.28","7,679.61","7,730.58"
05/10/2023,"7,764.09","7,778.98","7,727.12","7,741.33"
05/09/2023,"7,778.38","7,792.35","7,735.08","7,764.09"
05/05/2023,"7,702.64","7,781.54","7,702.64","7,778.38"
05/04/2023,"7,788.37","7,788.37","7,691.25","7,702.64"
05/03/2023,"7,773.03","7,819.66","7,773.03","7,788.37"
05/02/2023,"7,870.57","7,898.69","7,773.03","7,773.03"
04/28/2023,"7,831.58","7,870.57","7,791.63","7,870.57"
04/27/2023,"7,852.64","7,865.73","7,816.83","7,831.58"
04/26/2023,"7,891.13","7,893.95","7,825.93","7,852.64"
04/25/2023,"7,912.20","7,912.52","7,863.85","7,891.13"
04/24/2023,"7,914.13","7,927.11","7,877.58","7,912.20"
04/21/2023,"7,902.61","7,936.11","7,886.46","7,914.13"
04/20/2023,"7,898.77","7,902.95","7,876.35","7,902.61"
04/19/2023,"7,909.44","7,909.44","7,871.43","7,898.77"
04/18/2023,"7,879.51","7,912.73","7,879.51","7,909.44"
04/17/2023,"7,871.91","7,916.67","7,871.91","7,879.51"
04/14/2023,"7,843.38","7,904.04","7,843.38","7,871.91"
04/13/2023,"7,824.84","7,851.57","7,814.11","7,843.38"
04/12/2023,"7,785.72","7,859.67","7,783.40","7,824.84"
04/11/2023,"7,741.56","7,806.39","7,741.56","7,785.72"
04/06/2023,"7,662.94","7,742.11","7,654.54","7,741.56"
04/05/2023,"7,634.52","7,678.45","7,634.26","7,662.94"
04/04/2023,"7,673.00","7,726.85","7,634.52","7,634.52"
04/03/2023,"7,631.74","7,698.15","7,631.74","7,673.00"
03/31/2023,"7,620.43","7,654.41","7,616.09","7,631.74"
03/30/2023,"7,564.27","7,638.49","7,564.27","7,620.43"
03/29/2023,"7,484.25","7,566.80","7,484.21","7,564.27"
03/28/2023,"7,471.77","7,524.55","7,464.61","7,484.25"
03/27/2023,"7,405.45","7,491.74","7,405.45","7,471.77"
03/24/2023,"7,499.60","7,499.60","7,335.71","7,405.45"
03/23/2023,"7,566.84","7,566.84","7,476.13","7,499.60"
03/22/2023,"7,536.22","7,585.57","7,505.48","7,566.84"
03/21/2023,"7,403.85","7,557.55","7,403.85","7,536.22"
03/20/2023,"7,335.40","7,426.24","7,206.82","7,403.85"
03/17/2023,"7,410.03","7,510.47","7,309.30","7,335.40"
03/16/2023,"7,344.45","7,458.64","7,331.49","7,410.03"
03/15/2023,"7,637.11","7,637.39","7,333.35","7,344.45"
03/14/2023,"7,548.63","7,641.55","7,503.25","7,637.11"
03/13/2023,"7,748.35","7,752.43","7,546.02","7,548.63"
03/10/2023,"7,879.98","7,879.98","7,708.32","7,748.35"
03/09/2023,"7,929.92","7,930.26","7,862.01","7,879.98"
03/08/2023,"7,919.48","7,946.62","7,891.42","7,929.92"
03/07/2023,"7,929.79","7,959.77","7,909.77","7,919.48"
03/06/2023,"7,947.11","7,948.67","7,897.45","7,929.79"
03/03/2023,"7,944.04","7,974.40","7,920.07","7,947.11"
03/02/2023,"7,914.93","7,945.82","7,875.03","7,944.04"
03/01/2023,"7,876.28","7,950.69","7,874.34","7,914.93"
02/28/2023,"7,935.11","7,935.11","7,854.82","7,876.28"
02/27/2023,"7,878.66","7,949.97","7,878.66","7,935.11"
02/24/2023,"7,907.72","7,939.17","7,870.39","7,878.66"
02/23/2023,"7,930.63","7,935.56","7,888.88","7,907.72"
02/22/2023,"7,977.75","7,977.75","7,879.03","7,930.63"
02/21/2023,"8,014.31","8,014.40","7,952.48","7,977.75"
02/20/2023,"8,004.36","8,020.13","7,995.46","8,014.31"
02/17/2023,"8,012.53","8,012.53","7,957.69","8,004.36"
02/16/2023,"7,997.83","8,047.06","7,978.61","8,012.53"
02/15/2023,"7,953.85","8,003.65","7,921.32","7,997.83"
02/14/2023,"7,947.60","7,996.35","7,947.60","7,953.85"
02/13/2023,"7,882.45","7,947.60","7,881.86","7,947.60"
02/10/2023,"7,911.15","7,913.31","7,850.94","7,882.45"
02/09/2023,"7,885.17","7,949.57","7,874.23","7,911.15"
02/08/2023,"7,864.71","7,934.30","7,864.66","7,885.17"
02/07/2023,"7,836.71","7,890.82","7,835.36","7,864.71"
02/06/2023,"7,901.80","7,901.80","7,808.39","7,836.71"
02/03/2023,"7,820.16","7,906.58","7,806.85","7,901.80"
02/02/2023,"7,761.11","7,837.84","7,758.51","7,820.16"
02/01/2023,"7,771.70","7,798.51","7,745.43","7,761.11"
01/31/2023,"7,784.87","7,784.87","7,708.34","7,771.70"
01/30/2023,"7,765.15","7,790.69","7,718.33","7,784.87"
01/27/2023,"7,761.11","7,777.40","7,742.12","7,765.15"
01/26/2023,"7,744.87","7,787.57","7,744.87","7,761.11"
01/25/2023,"7,757.36","7,773.57","7,710.78","7,744.87"
01/24/2023,"7,784.67","7,800.89","7,741.75","7,757.36"
01/23/2023,"7,770.59","7,811.17","7,768.47","7,784.67"
01/20/2023,"7,747.29","7,790.87","7,747.29","7,770.59"
01/19/2023,"7,830.70","7,830.80","7,726.23","7,747.29"
01/18/2023,"7,851.03","7,867.43","7,824.73","7,830.70"
01/17/2023,"7,860.07","7,875.58","7,830.35","7,851.03"
01/16/2023,"7,844.07","7,867.23","7,841.91","7,860.07"
01/13/2023,"7,794.04","7,864.95","7,793.55","7,844.07"
01/12/2023,"7,724.98","7,809.13","7,724.55","7,794.04"
01/11/2023,"7,694.49","7,772.37","7,694.35","7,724.98"
01/10/2023,"7,724.94","7,724.94","7,684.35","7,694.49"
01/09/2023,"7,699.49","7,725.74","7,688.69","7,724.94"
01/06/2023,"7,633.45","7,700.81","7,633.45","7,699.49"
01/05/2023,"7,585.19","7,658.79","7,564.70","7,633.45"
01/04/2023,"7,554.09","7,609.25","7,545.18","7,585.19"
01/03/2023,"7,451.74","7,626.40","7,448.69","7,554.09"
12/30/2022,"7,512.72","7,512.92","7,451.74","7,451.74"
12/29/2022,"7,497.19","7,516.36","7,434.64","7,512.72"
12/28/2022,"7,473.01","7,547.00","7,473.01","7,497.19"
12/27/2022,"7,473.01","7,473.01","7,473.01","7,473.01"
12/26/2022,"7,473.01","7,473.01","7,473.01","7,473.01"
12/23/2022,"7,469.28","7,496.40","7,462.80","7,473.01"
