Date,UK,Month-Year,Date,Rolling CAPE 10Y,
29-01-82,9.28,Jan-82,1-1982,,
26-02-82,8.77,Feb-82,2-1982,,
31-03-82,8.92,Mar-82,3-1982,,
30-04-82,9.02,Apr-82,4-1982,,
31-05-82,9.26,May-82,5-1982,,
30-06-82,8.88,Jun-82,6-1982,,
30-07-82,9.01,Jul-82,7-1982,,
31-08-82,9.28,Aug-82,8-1982,,
30-09-82,9.81,Sep-82,9-1982,,
29-10-82,10.12,Oct-82,10-1982,,
30-11-82,10.12,Nov-82,11-1982,,
31-12-82,10.26,Dec-82,12-1982,,
31-01-83,10.72,Jan-83,1-1983,,
28-02-83,10.76,Feb-83,2-1983,,
31-03-83,10.91,Mar-83,3-1983,,
29-04-83,11.85,Apr-83,4-1983,,
31-05-83,11.84,May-83,5-1983,,
30-06-83,12.45,Jun-83,6-1983,,
29-07-83,11.88,Jul-83,7-1983,,
31-08-83,11.96,Aug-83,8-1983,,
30-09-83,11.86,Sep-83,9-1983,,
31-10-83,11.63,Oct-83,10-1983,,
30-11-83,12.24,Nov-83,11-1983,,
30-12-83,12.43,Dec-83,12-1983,,
31-01-84,13.29,Jan-84,1-1984,,
29-02-84,12.95,Feb-84,2-1984,,
30-03-84,13.6,Mar-84,3-1984,,
30-04-84,13.86,Apr-84,4-1984,,
31-05-84,12.56,May-84,5-1984,,
29-06-84,12.85,Jun-84,6-1984,,
31-07-84,12.25,Jul-84,7-1984,,
31-08-84,13.5,Aug-84,8-1984,,
28-09-84,13.84,Sep-84,9-1984,,
31-10-84,14.05,Oct-84,10-1984,,
30-11-84,14.38,Nov-84,11-1984,,
31-12-84,15.08,Dec-84,12-1984,,
31-01-85,15.81,Jan-85,1-1985,,
28-02-85,15.39,Feb-85,2-1985,,
29-03-85,15.19,Mar-85,3-1985,,
30-04-85,15.17,Apr-85,4-1985,,
31-05-85,15.23,May-85,5-1985,,
28-06-85,14.21,Jun-85,6-1985,,
31-07-85,14.32,Jul-85,7-1985,,
30-08-85,15.4,Aug-85,8-1985,,
30-09-85,14.71,Sep-85,9-1985,,
31-10-85,15.85,Oct-85,10-1985,,
29-11-85,16.45,Nov-85,11-1985,,
31-12-85,16.21,Dec-85,12-1985,,
31-01-86,16.45,Jan-86,1-1986,,
28-02-86,17.64,Feb-86,2-1986,,
31-03-86,18.52,Mar-86,3-1986,,
30-04-86,18.38,Apr-86,4-1986,,
30-05-86,17.76,May-86,5-1986,,
30-06-86,18.23,Jun-86,6-1986,,
31-07-86,16.85,Jul-86,7-1986,,
29-08-86,17.95,Aug-86,8-1986,,
30-09-86,16.81,Sep-86,9-1986,,
31-10-86,17.52,Oct-86,10-1986,,
28-11-86,17.57,Nov-86,11-1986,,
31-12-86,17.93,Dec-86,12-1986,,
30-01-87,19.39,Jan-87,1-1987,,
27-02-87,20.92,Feb-87,2-1987,,
31-03-87,20.54,Mar-87,3-1987,,
30-04-87,20.97,Apr-87,4-1987,,
29-05-87,22.38,May-87,5-1987,,
30-06-87,23.06,Jun-87,6-1987,,
31-07-87,23.72,Jul-87,7-1987,,
31-08-87,22.63,Aug-87,8-1987,,
30-09-87,23.76,Sep-87,9-1987,,
30-10-87,17.48,Oct-87,10-1987,,
30-11-87,15.45,Nov-87,11-1987,,
31-12-87,16.93,Dec-87,12-1987,,
29-01-88,17.75,Jan-88,1-1988,,
29-02-88,17.44,Feb-88,2-1988,,
31-03-88,16.7,Mar-88,3-1988,,
