Date,FTAS.Open,FTAS.High,FTAS.Low,FTAS.Close,FTAS.Volume,FTAS.Adjusted,,,,
11-02-80, 262.1 , 262.1 , 262.1 , 262.1 , -   , 262.1 ,TRUE,,,
12-02-80, 261.5 , 261.5 , 261.5 , 261.5 , -   , 261.5 ,TRUE,,,
13-02-80, 265.7 , 265.7 , 265.7 , 265.7 , -   , 265.7 ,TRUE,,,
14-02-80, 265.4 , 265.4 , 265.4 , 265.4 , -   , 265.4 ,TRUE,,,
15-02-80, 259.5 , 259.5 , 259.5 , 259.5 , -   , 259.5 ,TRUE,,,
18-02-80, 260.0 , 260.0 , 260.0 , 260.0 , -   , 260.0 ,TRUE,,,
19-02-80, 260.6 , 260.6 , 260.6 , 260.6 , -   , 260.6 ,TRUE,,,
20-02-80, 258.4 , 258.4 , 258.4 , 258.4 , -   , 258.4 ,TRUE,,,
21-02-80, 258.3 , 258.3 , 258.3 , 258.3 , -   , 258.3 ,TRUE,,,
22-02-80, 256.7 , 256.7 , 256.7 , 256.7 , -   , 256.7 ,TRUE,,,
25-02-80, 257.6 , 257.6 , 257.6 , 257.6 , -   , 257.6 ,TRUE,,,
26-02-80, 258.0 , 258.0 , 258.0 , 258.0 , -   , 258.0 ,TRUE,,,
27-02-80, 260.6 , 260.6 , 260.6 , 260.6 , -   , 260.6 ,TRUE,,,
28-02-80, 263.0 , 263.0 , 263.0 , 263.0 , -   , 263.0 ,TRUE,,,
29-02-80, 263.8 , 263.8 , 263.8 , 263.8 , -   , 263.8 ,TRUE,,,
03-03-80, 263.2 , 263.2 , 263.2 , 263.2 , -   , 263.2 ,TRUE,,,
04-03-80, 258.8 , 258.8 , 258.8 , 258.8 , -   , 258.8 ,TRUE,,,
05-03-80, 261.2 , 261.2 , 261.2 , 261.2 , -   , 261.2 ,TRUE,,,
06-03-80, 259.3 , 259.3 , 259.3 , 259.3 , -   , 259.3 ,TRUE,,,
07-03-80, 256.8 , 256.8 , 256.8 , 256.8 , -   , 256.8 ,TRUE,,,
10-03-80, 253.3 , 253.3 , 253.3 , 253.3 , -   , 253.3 ,TRUE,,,
11-03-80, 254.0 , 254.0 , 254.0 , 254.0 , -   , 254.0 ,TRUE,,,
12-03-80, 251.8 , 251.8 , 251.8 , 251.8 , -   , 251.8 ,TRUE,,,
13-03-80, 251.8 , 251.8 , 251.8 , 251.8 , -   , 251.8 ,TRUE,,,
14-03-80, 248.3 , 248.3 , 248.3 , 248.3 , -   , 248.3 ,TRUE,,,
17-03-80, 244.0 , 244.0 , 244.0 , 244.0 , -   , 244.0 ,TRUE,,,
18-03-80, 241.9 , 241.9 , 241.9 , 241.9 , -   , 241.9 ,TRUE,,,
19-03-80, 243.7 , 243.7 , 243.7 , 243.7 , -   , 243.7 ,TRUE,,,
20-03-80, 244.9 , 244.9 , 244.9 , 244.9 , -   , 244.9 ,TRUE,,,
21-03-80, 243.3 , 243.3 , 243.3 , 243.3 , -   , 243.3 ,TRUE,,,
24-03-80, 240.5 , 240.5 , 240.5 , 240.5 , -   , 240.5 ,TRUE,,,
25-03-80, 240.7 , 240.7 , 240.7 , 240.7 , -   , 240.7 ,TRUE,,,
26-03-80, 243.7 , 243.7 , 243.7 , 243.7 , -   , 243.7 ,TRUE,,,
27-03-80, 239.2 , 239.2 , 239.2 , 239.2 , -   , 239.2 ,TRUE,,,
28-03-80, 238.5 , 238.5 , 238.5 , 238.5 , -   , 238.5 ,TRUE,,,
31-03-80, 240.4 , 240.4 , 240.4 , 240.4 , -   , 240.4 ,TRUE,,,
01-04-80, 243.7 , 243.7 , 243.7 , 243.7 , -   , 243.7 ,TRUE,,,
02-04-80, 244.1 , 244.1 , 244.1 , 244.1 , -   , 244.1 ,TRUE,,,
03-04-80, 244.4 , 244.4 , 244.4 , 244.4 , -   , 244.4 ,TRUE,,,
04-04-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
07-04-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
08-04-80, 241.4 , 241.4 , 241.4 , 241.4 , -   , 241.4 ,TRUE,,,
09-04-80, 243.7 , 243.7 , 243.7 , 243.7 , -   , 243.7 ,TRUE,,,
10-04-80, 242.9 , 242.9 , 242.9 , 242.9 , -   , 242.9 ,TRUE,,,
11-04-80, 244.2 , 244.2 , 244.2 , 244.2 , -   , 244.2 ,TRUE,,,
14-04-80, 246.4 , 246.4 , 246.4 , 246.4 , -   , 246.4 ,TRUE,,,
15-04-80, 246.5 , 246.5 , 246.5 , 246.5 , -   , 246.5 ,TRUE,,,
16-04-80, 248.6 , 248.6 , 248.6 , 248.6 , -   , 248.6 ,TRUE,,,
17-04-80, 249.2 , 249.2 , 249.2 , 249.2 , -   , 249.2 ,TRUE,,,
18-04-80, 250.1 , 250.1 , 250.1 , 250.1 , -   , 250.1 ,TRUE,,,
21-04-80, 250.2 , 250.2 , 250.2 , 250.2 , -   , 250.2 ,TRUE,,,
22-04-80, 247.6 , 247.6 , 247.6 , 247.6 , -   , 247.6 ,TRUE,,,
23-04-80, 247.8 , 247.8 , 247.8 , 247.8 , -   , 247.8 ,TRUE,,,
24-04-80, 246.0 , 246.0 , 246.0 , 246.0 , -   , 246.0 ,TRUE,,,
25-04-80, 242.8 , 242.8 , 242.8 , 242.8 , -   , 242.8 ,TRUE,,,
28-04-80, 245.4 , 245.4 , 245.4 , 245.4 , -   , 245.4 ,TRUE,,,
29-04-80, 247.6 , 247.6 , 247.6 , 247.6 , -   , 247.6 ,TRUE,,,
30-04-80, 249.5 , 249.5 , 249.5 , 249.5 , -   , 249.5 ,TRUE,,,
01-05-80, 251.0 , 251.0 , 251.0 , 251.0 , -   , 251.0 ,TRUE,,,
02-05-80, 251.6 , 251.6 , 251.6 , 251.6 , -   , 251.6 ,TRUE,,,
05-05-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
06-05-80, 252.8 , 252.8 , 252.8 , 252.8 , -   , 252.8 ,TRUE,,,
07-05-80, 251.4 , 251.4 , 251.4 , 251.4 , -   , 251.4 ,TRUE,,,
08-05-80, 250.4 , 250.4 , 250.4 , 250.4 , -   , 250.4 ,TRUE,,,
09-05-80, 249.3 , 249.3 , 249.3 , 249.3 , -   , 249.3 ,TRUE,,,
12-05-80, 249.2 , 249.2 , 249.2 , 249.2 , -   , 249.2 ,TRUE,,,
13-05-80, 251.9 , 251.9 , 251.9 , 251.9 , -   , 251.9 ,TRUE,,,
14-05-80, 254.0 , 254.0 , 254.0 , 254.0 , -   , 254.0 ,TRUE,,,
15-05-80, 252.4 , 252.4 , 252.4 , 252.4 , -   , 252.4 ,TRUE,,,
16-05-80, 251.2 , 251.2 , 251.2 , 251.2 , -   , 251.2 ,TRUE,,,
19-05-80, 249.4 , 249.4 , 249.4 , 249.4 , -   , 249.4 ,TRUE,,,
20-05-80, 249.1 , 249.1 , 249.1 , 249.1 , -   , 249.1 ,TRUE,,,
21-05-80, 249.2 , 249.2 , 249.2 , 249.2 , -   , 249.2 ,TRUE,,,
22-05-80, 248.2 , 248.2 , 248.2 , 248.2 , -   , 248.2 ,TRUE,,,
23-05-80, 247.1 , 247.1 , 247.1 , 247.1 , -   , 247.1 ,TRUE,,,
26-05-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
27-05-80, 246.2 , 246.2 , 246.2 , 246.2 , -   , 246.2 ,TRUE,,,
28-05-80, 244.4 , 244.4 , 244.4 , 244.4 , -   , 244.4 ,TRUE,,,
29-05-80, 243.6 , 243.6 , 243.6 , 243.6 , -   , 243.6 ,TRUE,,,
30-05-80, 243.6 , 243.6 , 243.6 , 243.6 , -   , 243.6 ,TRUE,,,
02-06-80, 242.9 , 242.9 , 242.9 , 242.9 , -   , 242.9 ,TRUE,,,
03-06-80, 245.3 , 245.3 , 245.3 , 245.3 , -   , 245.3 ,TRUE,,,
04-06-80, 247.7 , 247.7 , 247.7 , 247.7 , -   , 247.7 ,TRUE,,,
05-06-80, 248.6 , 248.6 , 248.6 , 248.6 , -   , 248.6 ,TRUE,,,
06-06-80, 249.3 , 249.3 , 249.3 , 249.3 , -   , 249.3 ,TRUE,,,
09-06-80, 252.6 , 252.6 , 252.6 , 252.6 , -   , 252.6 ,TRUE,,,
10-06-80, 255.7 , 255.7 , 255.7 , 255.7 , -   , 255.7 ,TRUE,,,
11-06-80, 257.2 , 257.2 , 257.2 , 257.2 , -   , 257.2 ,TRUE,,,
12-06-80, 259.0 , 259.0 , 259.0 , 259.0 , -   , 259.0 ,TRUE,,,
13-06-80, 261.5 , 261.5 , 261.5 , 261.5 , -   , 261.5 ,TRUE,,,
16-06-80, 268.1 , 268.1 , 268.1 , 268.1 , -   , 268.1 ,TRUE,,,
17-06-80, 269.0 , 269.0 , 269.0 , 269.0 , -   , 269.0 ,TRUE,,,
18-06-80, 270.4 , 270.4 , 270.4 , 270.4 , -   , 270.4 ,TRUE,,,
19-06-80, 269.2 , 269.2 , 269.2 , 269.2 , -   , 269.2 ,TRUE,,,
20-06-80, 271.1 , 271.1 , 271.1 , 271.1 , -   , 271.1 ,TRUE,,,
23-06-80, 270.8 , 270.8 , 270.8 , 270.8 , -   , 270.8 ,TRUE,,,
24-06-80, 267.9 , 267.9 , 267.9 , 267.9 , -   , 267.9 ,TRUE,,,
25-06-80, 270.5 , 270.5 , 270.5 , 270.5 , -   , 270.5 ,TRUE,,,
26-06-80, 270.5 , 270.5 , 270.5 , 270.5 , -   , 270.5 ,TRUE,,,
27-06-80, 269.4 , 269.4 , 269.4 , 269.4 , -   , 269.4 ,TRUE,,,
30-06-80, 269.5 , 269.5 , 269.5 , 269.5 , -   , 269.5 ,TRUE,,,
01-07-80, 267.0 , 267.0 , 267.0 , 267.0 , -   , 267.0 ,TRUE,,,
02-07-80, 269.2 , 269.2 , 269.2 , 269.2 , -   , 269.2 ,TRUE,,,
03-07-80, 273.5 , 273.5 , 273.5 , 273.5 , -   , 273.5 ,TRUE,,,
04-07-80, 278.1 , 278.1 , 278.1 , 278.1 , -   , 278.1 ,TRUE,,,
07-07-80, 281.0 , 281.0 , 281.0 , 281.0 , -   , 281.0 ,TRUE,,,
08-07-80, 282.1 , 282.1 , 282.1 , 282.1 , -   , 282.1 ,TRUE,,,
09-07-80, 282.0 , 282.0 , 282.0 , 282.0 , -   , 282.0 ,TRUE,,,
10-07-80, 281.0 , 281.0 , 281.0 , 281.0 , -   , 281.0 ,TRUE,,,
11-07-80, 280.1 , 280.1 , 280.1 , 280.1 , -   , 280.1 ,TRUE,,,
14-07-80, 279.1 , 279.1 , 279.1 , 279.1 , -   , 279.1 ,TRUE,,,
15-07-80, 282.7 , 282.7 , 282.7 , 282.7 , -   , 282.7 ,TRUE,,,
16-07-80, 286.6 , 286.6 , 286.6 , 286.6 , -   , 286.6 ,TRUE,,,
17-07-80, 286.0 , 286.0 , 286.0 , 286.0 , -   , 286.0 ,TRUE,,,
18-07-80, 287.4 , 287.4 , 287.4 , 287.4 , -   , 287.4 ,TRUE,,,
21-07-80, 288.1 , 288.1 , 288.1 , 288.1 , -   , 288.1 ,TRUE,,,
22-07-80, 284.4 , 284.4 , 284.4 , 284.4 , -   , 284.4 ,TRUE,,,
23-07-80, 283.0 , 283.0 , 283.0 , 283.0 , -   , 283.0 ,TRUE,,,
24-07-80, 282.5 , 282.5 , 282.5 , 282.5 , -   , 282.5 ,TRUE,,,
25-07-80, 280.5 , 280.5 , 280.5 , 280.5 , -   , 280.5 ,TRUE,,,
28-07-80, 279.8 , 279.8 , 279.8 , 279.8 , -   , 279.8 ,TRUE,,,
29-07-80, 281.8 , 281.8 , 281.8 , 281.8 , -   , 281.8 ,TRUE,,,
30-07-80, 282.6 , 282.6 , 282.6 , 282.6 , -   , 282.6 ,TRUE,,,
31-07-80, 282.3 , 282.3 , 282.3 , 282.3 , -   , 282.3 ,TRUE,,,
01-08-80, 281.6 , 281.6 , 281.6 , 281.6 , -   , 281.6 ,TRUE,,,
04-08-80, 279.2 , 279.2 , 279.2 , 279.2 , -   , 279.2 ,TRUE,,,
05-08-80, 279.2 , 279.2 , 279.2 , 279.2 , -   , 279.2 ,TRUE,,,
06-08-80, 275.0 , 275.0 , 275.0 , 275.0 , -   , 275.0 ,TRUE,,,
07-08-80, 276.6 , 276.6 , 276.6 , 276.6 , -   , 276.6 ,TRUE,,,
08-08-80, 279.3 , 279.3 , 279.3 , 279.3 , -   , 279.3 ,TRUE,,,
11-08-80, 279.7 , 279.7 , 279.7 , 279.7 , -   , 279.7 ,TRUE,,,
12-08-80, 280.4 , 280.4 , 280.4 , 280.4 , -   , 280.4 ,TRUE,,,
13-08-80, 278.1 , 278.1 , 278.1 , 278.1 , -   , 278.1 ,TRUE,,,
14-08-80, 279.2 , 279.2 , 279.2 , 279.2 , -   , 279.2 ,TRUE,,,
15-08-80, 282.6 , 282.6 , 282.6 , 282.6 , -   , 282.6 ,TRUE,,,
18-08-80, 283.8 , 283.8 , 283.8 , 283.8 , -   , 283.8 ,TRUE,,,
19-08-80, 284.4 , 284.4 , 284.4 , 284.4 , -   , 284.4 ,TRUE,,,
20-08-80, 286.2 , 286.2 , 286.2 , 286.2 , -   , 286.2 ,TRUE,,,
21-08-80, 289.1 , 289.1 , 289.1 , 289.1 , -   , 289.1 ,TRUE,,,
22-08-80, 290.0 , 290.0 , 290.0 , 290.0 , -   , 290.0 ,TRUE,,,
25-08-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
26-08-80, 289.5 , 289.5 , 289.5 , 289.5 , -   , 289.5 ,TRUE,,,
27-08-80, 287.7 , 287.7 , 287.7 , 287.7 , -   , 287.7 ,TRUE,,,
28-08-80, 282.9 , 282.9 , 282.9 , 282.9 , -   , 282.9 ,TRUE,,,
29-08-80, 282.5 , 282.5 , 282.5 , 282.5 , -   , 282.5 ,TRUE,,,
01-09-80, 281.3 , 281.3 , 281.3 , 281.3 , -   , 281.3 ,TRUE,,,
02-09-80, 282.6 , 282.6 , 282.6 , 282.6 , -   , 282.6 ,TRUE,,,
03-09-80, 285.7 , 285.7 , 285.7 , 285.7 , -   , 285.7 ,TRUE,,,
04-09-80, 287.5 , 287.5 , 287.5 , 287.5 , -   , 287.5 ,TRUE,,,
05-09-80, 289.9 , 289.9 , 289.9 , 289.9 , -   , 289.9 ,TRUE,,,
08-09-80, 289.5 , 289.5 , 289.5 , 289.5 , -   , 289.5 ,TRUE,,,
09-09-80, 293.5 , 293.5 , 293.5 , 293.5 , -   , 293.5 ,TRUE,,,
10-09-80, 295.5 , 295.5 , 295.5 , 295.5 , -   , 295.5 ,TRUE,,,
11-09-80, 294.7 , 294.7 , 294.7 , 294.7 , -   , 294.7 ,TRUE,,,
12-09-80, 298.5 , 298.5 , 298.5 , 298.5 , -   , 298.5 ,TRUE,,,
15-09-80, 296.4 , 296.4 , 296.4 , 296.4 , -   , 296.4 ,TRUE,,,
16-09-80, 294.6 , 294.6 , 294.6 , 294.6 , -   , 294.6 ,TRUE,,,
17-09-80, 295.8 , 295.8 , 295.8 , 295.8 , -   , 295.8 ,TRUE,,,
18-09-80, 298.1 , 298.1 , 298.1 , 298.1 , -   , 298.1 ,TRUE,,,
19-09-80, 296.5 , 296.5 , 296.5 , 296.5 , -   , 296.5 ,TRUE,,,
22-09-80, 295.3 , 295.3 , 295.3 , 295.3 , -   , 295.3 ,TRUE,,,
23-09-80, 294.7 , 294.7 , 294.7 , 294.7 , -   , 294.7 ,TRUE,,,
24-09-80, 292.8 , 292.8 , 292.8 , 292.8 , -   , 292.8 ,TRUE,,,
25-09-80, 293.8 , 293.8 , 293.8 , 293.8 , -   , 293.8 ,TRUE,,,
26-09-80, 292.6 , 292.6 , 292.6 , 292.6 , -   , 292.6 ,TRUE,,,
29-09-80, 289.6 , 289.6 , 289.6 , 289.6 , -   , 289.6 ,TRUE,,,
30-09-80, 290.3 , 290.3 , 290.3 , 290.3 , -   , 290.3 ,TRUE,,,
01-10-80, 292.4 , 292.4 , 292.4 , 292.4 , -   , 292.4 ,TRUE,,,
02-10-80, 292.9 , 292.9 , 292.9 , 292.9 , -   , 292.9 ,TRUE,,,
03-10-80, 291.9 , 291.9 , 291.9 , 291.9 , -   , 291.9 ,TRUE,,,
06-10-80, 294.4 , 294.4 , 294.4 , 294.4 , -   , 294.4 ,TRUE,,,
07-10-80, 294.3 , 294.3 , 294.3 , 294.3 , -   , 294.3 ,TRUE,,,
08-10-80, 293.1 , 293.1 , 293.1 , 293.1 , -   , 293.1 ,TRUE,,,
09-10-80, 290.9 , 290.9 , 290.9 , 290.9 , -   , 290.9 ,TRUE,,,
10-10-80, 287.8 , 287.8 , 287.8 , 287.8 , -   , 287.8 ,TRUE,,,
13-10-80, 290.4 , 290.4 , 290.4 , 290.4 , -   , 290.4 ,TRUE,,,
14-10-80, 293.8 , 293.8 , 293.8 , 293.8 , -   , 293.8 ,TRUE,,,
15-10-80, 297.0 , 297.0 , 297.0 , 297.0 , -   , 297.0 ,TRUE,,,
16-10-80, 297.2 , 297.2 , 297.2 , 297.2 , -   , 297.2 ,TRUE,,,
17-10-80, 297.3 , 297.3 , 297.3 , 297.3 , -   , 297.3 ,TRUE,,,
20-10-80, 297.0 , 297.0 , 297.0 , 297.0 , -   , 297.0 ,TRUE,,,
21-10-80, 299.3 , 299.3 , 299.3 , 299.3 , -   , 299.3 ,TRUE,,,
22-10-80, 303.2 , 303.2 , 303.2 , 303.2 , -   , 303.2 ,TRUE,,,
23-10-80, 304.5 , 304.5 , 304.5 , 304.5 , -   , 304.5 ,TRUE,,,
24-10-80, 305.0 , 305.0 , 305.0 , 305.0 , -   , 305.0 ,TRUE,,,
27-10-80, 307.2 , 307.2 , 307.2 , 307.2 , -   , 307.2 ,TRUE,,,
28-10-80, 309.3 , 309.3 , 309.3 , 309.3 , -   , 309.3 ,TRUE,,,
29-10-80, 309.2 , 309.2 , 309.2 , 309.2 , -   , 309.2 ,TRUE,,,
30-10-80, 309.7 , 309.7 , 309.7 , 309.7 , -   , 309.7 ,TRUE,,,
31-10-80, 306.3 , 306.3 , 306.3 , 306.3 , -   , 306.3 ,TRUE,,,
03-11-80, 302.5 , 302.5 , 302.5 , 302.5 , -   , 302.5 ,TRUE,,,
04-11-80, 301.0 , 301.0 , 301.0 , 301.0 , -   , 301.0 ,TRUE,,,
05-11-80, 304.5 , 304.5 , 304.5 , 304.5 , -   , 304.5 ,TRUE,,,
06-11-80, 300.0 , 300.0 , 300.0 , 300.0 , -   , 300.0 ,TRUE,,,
07-11-80, 297.3 , 297.3 , 297.3 , 297.3 , -   , 297.3 ,TRUE,,,
10-11-80, 298.4 , 298.4 , 298.4 , 298.4 , -   , 298.4 ,TRUE,,,
11-11-80, 301.4 , 301.4 , 301.4 , 301.4 , -   , 301.4 ,TRUE,,,
12-11-80, 301.8 , 301.8 , 301.8 , 301.8 , -   , 301.8 ,TRUE,,,
13-11-80, 305.7 , 305.7 , 305.7 , 305.7 , -   , 305.7 ,TRUE,,,
14-11-80, 306.5 , 306.5 , 306.5 , 306.5 , -   , 306.5 ,TRUE,,,
17-11-80, 305.9 , 305.9 , 305.9 , 305.9 , -   , 305.9 ,TRUE,,,
18-11-80, 309.6 , 309.6 , 309.6 , 309.6 , -   , 309.6 ,TRUE,,,
19-11-80, 311.3 , 311.3 , 311.3 , 311.3 , -   , 311.3 ,TRUE,,,
20-11-80, 309.8 , 309.8 , 309.8 , 309.8 , -   , 309.8 ,TRUE,,,
21-11-80, 313.1 , 313.1 , 313.1 , 313.1 , -   , 313.1 ,TRUE,,,
24-11-80, 308.8 , 308.8 , 308.8 , 308.8 , -   , 308.8 ,TRUE,,,
25-11-80, 304.2 , 304.2 , 304.2 , 304.2 , -   , 304.2 ,TRUE,,,
26-11-80, 305.7 , 305.7 , 305.7 , 305.7 , -   , 305.7 ,TRUE,,,
27-11-80, 306.6 , 306.6 , 306.6 , 306.6 , -   , 306.6 ,TRUE,,,
28-11-80, 307.3 , 307.3 , 307.3 , 307.3 , -   , 307.3 ,TRUE,,,
01-12-80, 306.8 , 306.8 , 306.8 , 306.8 , -   , 306.8 ,TRUE,,,
02-12-80, 302.4 , 302.4 , 302.4 , 302.4 , -   , 302.4 ,TRUE,,,
03-12-80, 298.9 , 298.9 , 298.9 , 298.9 , -   , 298.9 ,TRUE,,,
04-12-80, 298.6 , 298.6 , 298.6 , 298.6 , -   , 298.6 ,TRUE,,,
05-12-80, 295.4 , 295.4 , 295.4 , 295.4 , -   , 295.4 ,TRUE,,,
08-12-80, 293.5 , 293.5 , 293.5 , 293.5 , -   , 293.5 ,TRUE,,,
09-12-80, 292.2 , 292.2 , 292.2 , 292.2 , -   , 292.2 ,TRUE,,,
10-12-80, 292.4 , 292.4 , 292.4 , 292.4 , -   , 292.4 ,TRUE,,,
11-12-80, 287.0 , 287.0 , 287.0 , 287.0 , -   , 287.0 ,TRUE,,,
12-12-80, 287.8 , 287.8 , 287.8 , 287.8 , -   , 287.8 ,TRUE,,,
15-12-80, 288.5 , 288.5 , 288.5 , 288.5 , -   , 288.5 ,TRUE,,,
16-12-80, 291.5 , 291.5 , 291.5 , 291.5 , -   , 291.5 ,TRUE,,,
17-12-80, 291.2 , 291.2 , 291.2 , 291.2 , -   , 291.2 ,TRUE,,,
18-12-80, 290.4 , 290.4 , 290.4 , 290.4 , -   , 290.4 ,TRUE,,,
19-12-80, 290.5 , 290.5 , 290.5 , 290.5 , -   , 290.5 ,TRUE,,,
22-12-80, 288.8 , 288.8 , 288.8 , 288.8 , -   , 288.8 ,TRUE,,,
23-12-80, 289.2 , 289.2 , 289.2 , 289.2 , -   , 289.2 ,TRUE,,,
24-12-80, 289.1 , 289.1 , 289.1 , 289.1 , -   , 289.1 ,TRUE,,,
25-12-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
26-12-80, NA , NA , NA , NA , NA , NA ,TRUE,,,
29-12-80, 290.2 , 290.2 , 290.2 , 290.2 , -   , 290.2 ,TRUE,,,
30-12-80, 290.8 , 290.8 , 290.8 , 290.8 , -   , 290.8 ,TRUE,,,
31-12-80, 292.2 , 292.2 , 292.2 , 292.2 , -   , 292.2 ,TRUE,,,
01-01-81, NA , NA , NA , NA , NA , NA ,TRUE,,,
02-01-81, 293.2 , 293.2 , 293.2 , 293.2 , -   , 293.2 ,TRUE,,,
05-01-81, 292.1 , 292.1 , 292.1 , 292.1 , -   , 292.1 ,TRUE,,,
06-01-81, 290.2 , 290.2 , 290.2 , 290.2 , -   , 290.2 ,TRUE,,,
