Date,FTAS.Open,FTAS.High,FTAS.Low,FTAS.Close,FTAS.Volume,FTAS.Adjusted
02-01-20,"4,196","4,239","4,196","4,232","79,364,400","4,232"
03-01-20,"4,232","4,237","4,201","4,236","83,366,200","4,236"
06-01-20,"4,236","4,236","4,184","4,207","90,224,600","4,207"
07-01-20,"4,207","4,224","4,202","4,209","97,139,500","4,209"
08-01-20,"4,209","4,209","4,181","4,203","153,569,300","4,203"
09-01-20,"4,203","4,228","4,203","4,214","147,004,900","4,214"
10-01-20,"4,214","4,231","4,207","4,207","123,696,400","4,207"
13-01-20,"4,207","4,235","4,206","4,226","113,700,200","4,226"
14-01-20,"4,226","4,244","4,213","4,229","117,803,600","4,229"
15-01-20,"4,229","4,238","4,221","4,238","127,340,800","4,238"
16-01-20,"4,238","4,244","4,215","4,223","113,730,400","4,223"
17-01-20,"4,223","4,265","4,223","4,258","103,291,100","4,258"
20-01-20,"4,258","4,262","4,241","4,246","107,433,200","4,246"
21-01-20,"4,246","4,246","4,195","4,223","121,423,000","4,223"
22-01-20,"4,223","4,236","4,203","4,207","113,113,700","4,207"
23-01-20,"4,207","4,207","4,169","4,170","118,618,900","4,170"
24-01-20,"4,170","4,238","4,170","4,213","107,670,600","4,213"
27-01-20,"4,213","4,213","4,113","4,119","115,271,500","4,119"
28-01-20,"4,119","4,161","4,118","4,155","99,591,200","4,155"
29-01-20,"4,155","4,172","4,146","4,157","98,395,000","4,157"
30-01-20,"4,157","4,157","4,093","4,105","112,610,400","4,105"
31-01-20,"4,105","4,119","4,053","4,057","118,855,100","4,057"
03-02-20,"4,057","4,093","4,057","4,076","114,963,600","4,076"
04-02-20,"4,076","4,138","4,076","4,137","116,308,300","4,137"
05-02-20,"4,137","4,174","4,123","4,159","137,603,000","4,159"
06-02-20,"4,159","4,187","4,159","4,171","107,486,900","4,171"
07-02-20,"4,171","4,172","4,138","4,151","109,900,300","4,151"
10-02-20,"4,151","4,151","4,132","4,142","111,506,600","4,142"
11-02-20,"4,142","4,184","4,142","4,170","118,523,000","4,170"
12-02-20,"4,170","4,197","4,170","4,191","105,190,500","4,191"
13-02-20,"4,191","4,191","4,127","4,150","129,365,800","4,150"
14-02-20,"4,150","4,161","4,130","4,135","109,823,100","4,135"
17-02-20,"4,135","4,156","4,135","4,147","82,233,600","4,147"
18-02-20,"4,147","4,147","4,107","4,119","122,295,200","4,119"
19-02-20,"4,119","4,160","4,119","4,158","105,495,600","4,158"
